id	regname	displayName	maxLevel	minLevel	curse	style	treasure	rarity	description
72	adept	Adept	3	1	0	normal	1	RARE	Increases dropped XP, scaling higher against bosses.
73	ancientsealedcurses	Ancient Sealed Curses	1	1	0	ancient	1	VERY_RARE	An ancient enchantment that causes attacks to curse the equipment of the enemy.
74	ancientswordmastery	Ancient Sword Mastery	3	1	0	ancient	1	VERY_RARE	An ancient enchantment that amplifies the dealt damage depending on the targets attack damage.
75	arcslash	Arc Slash	3	1	0	normal	0	VERY_RARE	A variant of sweeping edge that trades slightly less damage for sweeping more often.
76	ashdestroyer	Ash Destroyer	5	1	0	normal	0	RARE	Amplifies damage if the enemy is burning.
77	atomicdeconstructor	Atomic Deconstructor	2	1	0	normal	0	RARE	Has a low chance to instantly shred the enemy from existence.
78	blessededge	Blessed Edge	5	1	0	normal	0	RARE	Deals amplified damage against the undead and heals the user for a portion of the damage dealt.
79	brutality	Brutality	5	1	0	normal	0	RARE	Increases damage dealt to the armor of the enemy.
80	burningshield	Burning Shield	4	1	0	normal	0	RARE	Reflects a portion of damage done by attackers, and sets them alight.
81	burningthorns	Burning Thorns	3	1	0	normal	0	VERY_RARE	Improved version of thorns that additionally sets the attacker on fire.
82	butchering	Butchering	5	1	0	normal	0	RARE	Deals increased damage to animals, additionally increases the loot dropped by slain animals.
83	clearskiesfavor	Clearskies' Favor	5	1	0	normal	0	RARE	Increases damage dealt during clear weather with an extra boost if exposed to the sky.
84	combatmedic	Combat Medic	3	1	0	normal	0	RARE	Amplifies the user's healing.
85	counterattack	Counter Attack	3	1	0	normal	0	RARE	Gives you a chance to automatically retaliate to a melee attack.
86	criticalstrike	Critical Strike	4	1	0	normal	0	RARE	Gives your critical hits an increasing chance to turn into a super-critical hit for greatly amplified damage.
87	cryogenic	Cryogenic	3	1	0	normal	0	RARE	Gives a chance to apply stacking slowness and fatigue to an enemy, which can freeze the enemy into a block of ice.
88	culling	Culling	3	1	0	normal	0	VERY_RARE	If an attack would leave an enemy with low health, instantly kills the enemy instead. If successful, also drops the head of that enemy.
89	darkshadows	Dark Shadows	3	1	0	normal	0	RARE	Your attacks deal increased damage when striking from the shadows, and additionally can blind enemies.
90	defusingedge	Defusing Edge	5	1	0	normal	0	RARE	Defuses and deals increased damage to creepers.
91	desolator	Desolator	4	1	0	normal	0	RARE	Attacks have a chance to apply negative resistance and weakness.
92	difficultysendowment	Difficulty's Endowment	5	1	0	normal	0	RARE	Amplifies or decreases your attacks damage based on world difficulty.
93	disarmament	Disarmament	5	1	0	normal	0	RARE	Grants a chance to disarm your opponent's weapons.
94	disorientatingblade	Disorientating Blade	4	1	0	normal	0	RARE	Attacks have a chance to apply blindness and nausea to the enemy.
95	empowereddefence	Empowered Defence	4	1	0	normal	0	RARE	Empowers your shield's defence, giving a chance to block and reflect an attack with additional knockback.
96	envenomed	Envenomed	3	1	0	normal	0	RARE	Attacks have a chance to apply poison and wither to the enemy.
97	evasion	Evasion	3	1	0	normal	0	RARE	Grants the user a chance to evade and ignore attacks.
98	fieryedge	Fiery Edge	2	1	0	normal	0	VERY_RARE	A variant of fire aspect that additionally gives a chance to ignore the invulnerability frames of an enemy on fire.
99	flinging	Flinging	2	1	0	normal	0	UNCOMMON	A variant of knockback that instead launches the enemy upwards.
100	horsdecombat	Hors De Combat	4	1	0	normal	0	RARE	Attacks have a chance to cripple the enemy with various effects.
101	inhumane	Inhumane	5	1	0	normal	0	RARE	Attacks deal extra damage against and apply weakness to Illagers.
102	innerberserk	Inner Berserk	4	1	0	normal	0	VERY_RARE	Amplifies the damage the user deals the lower the user's health is.
103	jaggedrake	Jagged Rake	5	1	0	normal	0	RARE	Increases damage dealt by hoes.
