# slot|detail identity|landmark|companion|remnant|litter|body id:data|trim id:data|accent id:data|landmark attempts per chunk
# All 62 carriers disable artificial landmarks and litter in the Overworld, Nether and End (density 0).
# Recipes remain archived as identity metadata; terrain, rivers, trees, natural foliage and major structures are unchanged.
OCEAN|salt-crusted mooring wrecks|BOAT|PIER|BOLLARDS|SALT|17:0|5:0|159:8|0
PLAINS|oxidized street drainage|CULVERT|PIPE|DRAIN|SCRAP|159:12|98:2|101:0|0
DESERT|shattered school courtyard|BENCH|WALL|MOSAIC|SHARDS|98:0|159:8|20:0|0
EXTREME_HILLS|exposed tenement skeletons|TRUSS|STEPS|VENT|TILES|159:12|98:2|159:7|0
FOREST|hospice memorial plots|GRAVES|BENCH|CHIPPED_COLUMN|ASH|98:2|48:0|159:0|0
TAIGA|flooded borough boardwalks|PIER|CISTERN|BOAT|SILT|5:1|159:9|17:1|0
SWAMPLAND|reservoir ice and sluicework|FROST|SLUICE|PIPE|ICE_CHIPS|174:0|98:0|80:0|0
RIVER|penitents drainage channels|CULVERT|SLUICE|STEPS|SCRAP|98:2|4:0|101:0|0
HELL|open-air vault fragments|MONOLITH|MOSAIC|ARCH|TILES|98:3|159:10|98:2|0
SKY|blossom votive roots|TORII|ROOTS|ALTAR|PETALS|17:0|159:14|159:6|0
FROZEN_OCEAN|flower-choked stair landings|STEPS|AWNING|BENCH|PETALS|159:6|98:2|159:2|0
FROZEN_RIVER|wrecked coastal aerials|SIGNAL|BOAT|BOLLARDS|SCRAP|17:1|159:9|101:0|0
ICE_FLATS|cordon roadblock remnants|BARRICADE|CART|FENCE|SCRAP|5:0|159:13|101:0|0
ICE_MOUNTAINS|blackreed pump channels|REEDS|PIPE|SLUICE|SEDGE|159:15|17:0|159:13|0
MUSHROOM_ISLAND|silted convoy hulls|BOAT|CART|TRUSS|SILT|159:13|5:1|159:8|0
MUSHROOM_ISLAND_SHORE|fallen relay masts|SIGNAL|TRUSS|FALLEN_TRUNK|SCRAP|159:7|101:0|159:13|0
BEACHES|sanguine exclusion roots|ROOTS|HUSK|BARRICADE|THORNS|17:1|159:14|159:12|0
DESERT_HILLS|grounded gravity fractures|CRYSTAL|MONOLITH|CAIRN|SHARDS|1:1|1:5|159:8|0
FOREST_HILLS|rail sleepers and derailed beds|RAIL|CART|BARRICADE|SCRAP|5:5|159:12|101:0|0
TAIGA_HILLS|green reactor cooling wrecks|CRYSTAL|VENT|PIPE|SHARDS|159:13|20:0|159:5|0
SMALLER_EXTREME_HILLS|wind-scoured animal fossils|FOSSIL|RIBS|CAIRN|BONES|216:0|24:0|159:0|0
JUNGLE|bitter orchard presswork|STUMP|CART|WELL|SPLINTERS|17:0|5:1|48:0|0
JUNGLE_HILLS|ossuary civic fragments|RIBS|CHIPPED_COLUMN|PLINTH|BONES|98:0|216:0|98:2|0
JUNGLE_EDGE|dust-buried neon frontage|AWNING|WHEEL|MOSAIC|TILES|179:0|159:11|159:2|0
DEEP_OCEAN|viridian blast husks|VENT|HUSK|CRYSTAL|ASH|159:5|159:13|159:15|0
STONE_BEACH|coal-haul retaining works|SCAFFOLD|CART|SLAG|ASH|1:5|17:1|159:15|0
COLD_BEACH|shelter stairwell remains|STEPS|SHELL|VENT|TILES|159:8|98:0|159:11|0
BIRCH_FOREST|iron convoy road litter|CART|RAIL|TRUSS|SCRAP|159:7|5:1|159:12|0
BIRCH_FOREST_HILLS|cold slag crucibles|SLAG|CISTERN|PIPE|ASH|159:12|112:0|159:15|0
ROOFED_FOREST|vaultroot irrigation beds|ROOTS|WELL|SLUICE|SEDGE|17:3|48:0|159:5|0
TAIGA_COLD|brine mooring thickets|BOLLARDS|REEDS|BOAT|SALT|17:1|159:9|159:4|0
TAIGA_COLD_HILLS|tarnished ceremonial paving|ARCH|MOSAIC|CHIPPED_COLUMN|TILES|159:4|24:2|159:14|0
REDWOOD_TAIGA|broken midway machinery|WHEEL|AWNING|BENCH|SCRAP|5:0|159:1|159:3|0
REDWOOD_TAIGA_HILLS|fallen crown masonry|THRONE|ARCH|WALL|ASH|98:2|1:5|159:15|0
EXTREME_HILLS_WITH_TREES|sanctuary root altars|ROOTS|TORII|FALLEN_TRUNK|SPLINTERS|17:3|48:0|98:3|0
SAVANNA|leechwater reed landings|REEDS|PIER|FENCE|SEDGE|17:3|5:3|159:15|0
SAVANNA_ROCK|extinguished kiln vents|VENT|SLAG|RIBS|ASH|159:15|112:0|159:8|0
MESA|shoreline monarch memorials|THRONE|CAIRN|BOAT|SALT|24:2|98:2|159:9|0
MESA_ROCK|blackgutter scaffold scraps|SCAFFOLD|DRAIN|GIBBET|SPLINTERS|17:5|5:5|159:15|0
MESA_CLEAR_ROCK|frozen rampart spurs|FROST|WALL|ARCH|ICE_CHIPS|174:0|98:2|159:3|0
VOID|fallen ring buttresses|ARCH|PLINTH|STEPS|ASH|98:2|159:8|159:12|0
MUTATED_PLAINS|last-ember chapel fragments|BELFRY|BENCH|GRAVES|ASH|98:0|112:0|159:14|0
MUTATED_DESERT|sunken oath votives|ALTAR|REEDS|CAIRN|SEDGE|48:0|17:3|159:9|0
MUTATED_EXTREME_HILLS|listening pine deadfalls|FALLEN_TRUNK|STUMP|FENCE|SPLINTERS|17:1|5:1|159:7|0
MUTATED_FOREST|bloodroot ritual deadwood|ROOTS|GIBBET|HUSK|THORNS|17:0|159:14|159:4|0
MUTATED_TAIGA|midnight storefront remains|AWNING|BENCH|DRAIN|SCRAP|45:0|159:7|159:14|0
MUTATED_SWAMPLAND|asylum exercise enclosures|FENCE|GRAVES|CISTERN|SHARDS|98:0|101:0|159:8|0
MUTATED_ICE_FLATS|unburied siege fragments|RIBS|BARRICADE|SARCOPHAGUS|BONES|179:2|216:0|159:12|0
MUTATED_JUNGLE|possessed orchard remnants|HUSK|STUMP|CART|PETALS|17:0|159:12|159:14|0
MUTATED_JUNGLE_EDGE|endless boulevard streetscape|DRAIN|BOLLARDS|BENCH|TILES|159:15|98:2|159:0|0
MUTATED_BIRCH_FOREST|mirrorward fractured shrines|MONOLITH|ROOTS|MOSAIC|SHARDS|17:2|20:0|159:8|0
MUTATED_BIRCH_FOREST_HILLS|kandarian hunting markers|GIBBET|STAKES|FALLEN_TRUNK|THORNS|17:1|98:3|159:14|0
MUTATED_ROOFED_FOREST|grinning midway totems|WHEEL|HUSK|TORII|PETALS|17:4|159:12|159:1|0
MUTATED_TAIGA_COLD|limbo mourning memorials|GRAVES|CHIPPED_COLUMN|BENCH|BONES|98:2|159:8|216:0|0
MUTATED_REDWOOD_TAIGA|lust wind-scoured arches|ARCH|BELFRY|HUSK|SHARDS|159:8|1:5|159:6|0
MUTATED_REDWOOD_TAIGA_HILLS|gluttony carrion drainage|FOSSIL|CULVERT|REEDS|SILT|216:0|159:12|159:13|0
MUTATED_EXTREME_HILLS_WITH_TREES|greed abandoned quarry loads|CART|STEPS|CAIRN|TILES|159:4|24:2|159:12|0
MUTATED_SAVANNA|wrath broken Styx moorings|BOAT|BOLLARDS|STAKES|SILT|17:5|159:15|159:12|0
MUTATED_SAVANNA_ROCK|heresy open ember sepulchers|SARCOPHAGUS|VENT|ALTAR|ASH|112:0|159:14|98:2|0
MUTATED_MESA|violence ritual thorn roots|STAKES|ROOTS|RIBS|THORNS|17:5|159:14|216:0|0
MUTATED_MESA_ROCK|fraud broken trench crossings|CULVERT|SCAFFOLD|SHELL|SCRAP|159:12|112:0|159:4|0
MUTATED_MESA_CLEAR_ROCK|treachery frozen entombments|FROST|SARCOPHAGUS|MONOLITH|ICE_CHIPS|174:0|80:0|159:3|0
