# slot|name|inspiration|height|relief|surface id:data|under id:data|tree|density|landmark|atmosphere|water RGB
OCEAN|Ashveil Coast|Silent Hill; Play Novel|55|8|82:0|13:0|dead|2|harbor|mist|596568
PLAINS|Rustwater Ward|Silent Hill 2; Silent Hill 2 remake|69|5|159:7|1:0|dead|1|ward|rust|574e43
DESERT|Gutterglass Schoolgrounds|Silent Hill 3; Silent Hill: The Arcade|72|8|159:8|1:0|dead|2|school|rust|655945
EXTREME_HILLS|Tenement Wound|Silent Hill 4: The Room; Silent Hill: Escape|92|26|159:12|1:0|none|0|ward|whisper|544651
FOREST|Cinder Hospice|Silent Hill: Origins; Silent Hill: Orphan|76|12|3:1|1:0|dead|5|hospital|ash|6a6559
TAIGA|Drowned Borough|Silent Hill: Homecoming; Silent Hill: Orphan 2|59|10|82:0|3:0|dead|2|harbor|rain|525f64
SWAMPLAND|Whiteout Reservoir|Silent Hill: Shattered Memories|66|9|80:0|174:0|frost|6|dam|snow|8aadb5
RIVER|Penitent Spillway|Silent Hill: Downpour; Silent Hill: Orphan 3|57|14|13:0|1:0|dead|3|dam|rain|425e62
HELL|Palimpsest Vaultlands|Silent Hill: Book of Memories; The Silent Hill Experience|85|18|1:0|159:7|none|0|vault|whisper|4b3851
SKY|Red Blossom Hollow|Silent Hill f|76|20|3:2|159:14|blossom|12|shrine|spores|663641
FROZEN_OCEAN|Bloomfall Tenements|Silent Hill: The Short Message; Silent Hill: Ascension|74|7|159:6|1:0|blossom|3|ward|spores|744659
FROZEN_RIVER|Signalwreck Coast|Silent Hill: Townfall|60|14|13:0|1:0|dead|2|radio|mist|506d70
ICE_FLATS|Abandoned Cordon|S.T.A.L.K.E.R.: Shadow of Chornobyl|70|7|3:1|3:0|scrub|4|checkpoint|wind|646f42
ICE_MOUNTAINS|Blackreed Marsh|S.T.A.L.K.E.R.: Clear Sky|60|5|82:0|3:0|swamp|7|pump|mist|46552b
MUSHROOM_ISLAND|Sunken Convoy|S.T.A.L.K.E.R.: Call of Pripyat|58|9|13:0|82:0|dead|1|harbor|rain|4e663b
MUSHROOM_ISLAND_SHORE|Dead Array|S.T.A.L.K.E.R.: Shadow of Chornobyl; Legends of the Zone|81|15|3:1|1:0|dead|6|radio|static|566346
BEACHES|Sanguine Exclusion Forest|S.T.A.L.K.E.R. 2: Heart of Chornobyl|77|17|3:2|159:12|red|13|checkpoint|spores|6e4333
DESERT_HILLS|Gravity Scar|S.T.A.L.K.E.R. 2: Heart of Chornobyl; Clear Sky|82|30|1:1|1:0|none|0|anomaly|static|666c3e
FOREST_HILLS|Oxide Railgrave|S.T.A.L.K.E.R.: Call of Pripyat|72|5|159:12|13:0|scrub|2|rail|wind|5f674b
TAIGA_HILLS|Glass Reactor|S.T.A.L.K.E.R.: Shadow of Chornobyl; S.T.A.L.K.E.R. 2|87|21|159:13|1:0|crystal|4|reactor|static|758342
SMALLER_EXTREME_HILLS|Bleached Expanse|Fallout|68|11|12:0|24:0|scrub|2|vault|dust|8a835a
JUNGLE|Bitter Orchard|Fallout 2|73|10|3:1|3:0|scrub|9|town|wind|6c713e
JUNGLE_HILLS|Capitol Ossuary|Fallout 3|77|19|13:0|1:0|dead|2|monument|dust|5e6841
JUNGLE_EDGE|Neon Dust Basin|Fallout: New Vegas|72|23|12:1|179:0|cactus|5|casino|dust|776b40
DEEP_OCEAN|Viridian Blastlands|Fallout 4|64|28|159:5|1:0|dead|2|reactor|spores|708536
STONE_BEACH|Coalbreath Ridges|Fallout 76|85|31|159:15|1:0|dead|5|mine|ash|66613b
COLD_BEACH|Shelterfall Terraces|Fallout Shelter|76|9|159:8|1:0|scrub|3|vault|wind|687652
BIRCH_FOREST|Iron Convoy Barrens|Fallout Tactics: Brotherhood of Steel|72|6|13:0|1:0|dead|1|rail|dust|696548
BIRCH_FOREST_HILLS|Brotherhood Slagfields|Fallout: Brotherhood of Steel|80|19|159:12|1:0|none|0|foundry|ash|735e30
ROOFED_FOREST|Vaultroot Gardens|Fallout Shelter Online; Fallout 2|72|13|3:2|3:0|swamp|10|vault|spores|5c7636
TAIGA_COLD|Brine Lantern Mire|Fallout 4: Far Harbor|59|12|82:0|3:0|swamp|9|harbor|mist|506154
